1.166; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
16.148; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
16.180; W; CW 0xEA24; AW 0xE800: 0003 0000 0000 000A 
16.212; W; CW 0xEA24; AW 0xE800: 0005 0001 0000 0000 
16.244; W; CW 0xEA24; AW 0xE800: 0003 0001 0000 0015 
16.351; W; CW 0xEA24; AW 0xE800: 0003 0002 0000 000A 
16.445; W; CW 0xEA24; AW 0xE800: 0003 0003 0000 000A 
38.129; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0024 0000 0014 0000 0001 0004 34BC 0000 0000 0001 0000 0003 0000 0008 0000 000B 0000 0006 0000 0010 0000 0108 0000 0103 0000 0305 0000 FEFE FEFE 6444 ; 6444; CRC OK;
38.332; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0028 0000 0014 0000 0001 0004 3DBC 0000 0000 0001 0000 0003 0000 0008 0000 000C 0000 0007 0000 0010 0000 00FD 0000 0114 0000 036A 0000 FEFE FEFE 0BF6 ; 0BF6; CRC OK;
38.444; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 002E 0000 0016 0001 0002 0004 46BC 0001 0000 0003 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0010 0000 003B 0000 005F 0000 FEFE FEFE DC28 ; DC28; CRC OK;
42.141; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 002F 0000 001E 0001 000E 0000 002B 000A 0009 000A 0009 FF00 000D 0401 1100 FEFE 0001 0817 0000 0000 0000 0000 0005 0000 002F FEFE FEFE FEFE FEFE 54D7 ; 54D7; CRC OK;
42.237; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 0021 0000 0014 0000 0002 0004 34C0 0000 0000 0000 0000 0000 0000 0002 0000 0006 0000 0009 0000 0008 0000 0083 0000 006D 0000 0481 0000 FEFE FEFE 266D ; 266D; CRC OK;
42.332; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0025 0000 0014 0000 0002 0004 3DC0 0000 0000 0000 0000 0001 0000 0004 0000 0007 0000 0009 0000 0008 0000 0068 0000 0050 0000 026A 0000 FEFE FEFE 2518 ; 2518; CRC OK;
42.441; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0029 0000 0014 0000 0002 0004 46C0 0000 0000 0000 0000 0001 0000 0002 0000 0005 0000 0006 0000 0003 0000 004F 0000 0018 0000 0033 0000 FEFE FEFE 1BB3 ; 1BB3; CRC OK;
42.536; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0031 0000 001E 0000 0002 0004 34C0 0000 0000 0000 0000 0000 0000 0002 0000 0005 0000 0007 0000 0008 0000 0068 0000 0031 0000 0261 0000 FEFE FEFE 07BC ; 07BC; CRC OK;
42.629; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0026 0000 0014 0000 0000 0004 3DC0 0000 0000 0000 0000 0000 0000 0002 0000 0004 0000 0007 0000 0009 0000 0063 0000 0057 0000 01EE 0000 FEFE FEFE 6439 ; 6439; CRC OK;
42.740; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 002D 0000 0016 0001 0002 0004 46C0 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 000B 0000 0034 0000 FEFE FEFE 3531 ; 3531; CRC OK;
42.835; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0032 0000 001E 0000 0002 0004 34BC 0000 0000 0002 0000 0000 0000 0000 0000 0000 0000 0001 0000 0001 0000 0014 0000 0050 0000 0281 0000 FEFE FEFE DC84 ; DC84; CRC OK;
42.928; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0036 0000 001E 0000 0002 0004 3DBC 0000 0000 0002 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 000D 0000 004D 0000 01F0 0000 FEFE FEFE A663 ; A663; CRC OK;
43.038; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 003A 0000 001E 0000 0002 0004 46BC 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0003 0000 0031 0000 0019 0000 0048 0000 FEFE FEFE 33B6 ; 33B6; CRC OK;
43.133; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0033 0000 001E 0000 0002 0004 34BC 0000 0000 0001 0000 0003 0000 0008 0000 0009 0000 0004 0000 000E 0000 0131 0000 013B 0000 02B1 0000 FEFE FEFE D4E3 ; D4E3; CRC OK;
43.337; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0037 0000 001E 0000 0002 0004 3DBC 0000 0000 0000 0000 0002 0000 0007 0000 000B 0000 0006 0000 000C 0000 0101 0000 00FB 0000 0303 0000 FEFE FEFE 10A2 ; 10A2; CRC OK;
43.431; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 003B 0000 001E 0000 0002 0004 46BC 0000 0000 0000 0000 0002 0000 0007 0000 000A 0000 0005 0000 000A 0000 00C7 0000 0044 0000 0099 0000 FEFE FEFE 678F ; 678F; CRC OK;
47.143; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 002F 0000 001E 0001 000E 0000 002B 000A 0009 000A 0009 FF00 000D 0401 1100 FEFE 0001 0817 0000 0000 0000 0000 0005 0000 002F FEFE FEFE FEFE FEFE 54D7 ; 54D7; CRC OK;
